threshold,precision,recall,f1,accuracy
0.0,0.32,1.0,0.49,0.32
0.05,0.32,1.0,0.49,0.32
0.1,0.32,1.0,0.49,0.32
0.15,0.33,0.94,0.49,0.37
0.2,0.45,0.71,0.55,0.62
0.25,0.6,0.62,0.61,0.74
0.3,0.7,0.58,0.64,0.79
0.35,0.8,0.57,0.66,0.81
0.4,0.84,0.55,0.67,0.82
0.45,0.85,0.54,0.66,0.82
0.5,0.84,0.52,0.65,0.81
0.55,0.84,0.44,0.58,0.79
0.6,0.85,0.42,0.56,0.79
0.65,0.84,0.38,0.52,0.78
0.7,0.88,0.3,0.45,0.76
0.75,0.92,0.25,0.4,0.75
0.8,1.0,0.15,0.27,0.73
0.85,1.0,0.06,0.12,0.7
0.9,0.0,0.0,0.0,0.68
0.95,0.0,0.0,0.0,0.68
1.0,0.0,0.0,0.0,0.68
